Company ID	Company Name (Korean)	Company Name (English)	기업설명	매출	누적투자금액 (억원)	직원수	카테고리	키워드
CP00003150	캐시멜로	CASHMALLOW	여행자 대상 모바일 환전 서비스 플랫폼 '캐시멜로'를 운영하는 기업	None	9.7	15	금융/보험/핀테크,여행/레저	외환/환전,B2C,플랫폼/마켓플레이스,거래수수료,APP,O2O
CP00015639	보나캠프	BONACAMP CO., LTD.	주류 스마트오더 서비스 '겟주'를 운영하는 기업	7112336000	110.0	86	제조/하드웨어	유통,기타주류,제조기술,ERP/그룹웨어,하드웨어,B2B
CP00013092	더블루아워	The Blue Hour Co.,Ltd.	등산 인증 포인트 기반 아웃도어 브랜드 쇼핑 플랫폼 '포인' 및 시니어 대상 취미 강의 및 트로트 영상 제공 서비스 '모꼬지' 를 운영하는 기업	1397000	None	8	콘텐츠/예술,교육,광고/마케팅	이커머스,음악,영상/비디오,스포츠/운동,취미교육,리워드,B2C,시니어/실버,SaaS/엔터프라이즈,APP,WEB,에듀테크
CP00014063	오더체크	ODEOCHEKEU CO.,LTD.	인테리어 사업자를 위한 규격화된 B2B 시공발주 서비스 "오더체크"를 운영하는 기업	15931000	1.0	9	금융/보험/핀테크,홈리빙/펫	결제/페이먼트,인테리어,B2B,SaaS/엔터프라이즈,WEB
CP00015316	심플리케어바이오	SIMPLYCARE BIO CO.	그린바이오 기반 면역 활성화 기술을 개발하는 기업	5890312000	None	16	헬스케어/바이오	바이오/의료,신약,축산업,제조기술,B2B
CP00003345	푼타컴퍼니	PUNTA COMPANY CO.,LTD.	온라인 시식 및 식품 커머스 플랫폼 '식후경'을 운영하는 기업	63847000	None	7	커머스,푸드/농업	이커머스,유통,반찬,음료,신선식품,디저트,농업,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,거래수수료,WEB,상품/하드웨어,O2O
CP00015356	에이스엔지니어링	ACE ENGINEERING & CO., LTD	에너지저장장치 컨테이너를 개발 및 제조하는 기업	295939078000	900.0	96	제조/하드웨어	제조기술,설계,하드웨어,B2B,상품/하드웨어
CP00017395	오픈포맷	OPEN FORMAT INC.	리퍼럴 마케팅 솔루션 '인센토'를 운영하는 기업	22825000	None	6	광고/마케팅	마케팅솔루션,CRM,B2B,SaaS/엔터프라이즈,광고
CP00012876	플레이팅코퍼레이션	PLATING CORPORATION, CO,. LTD.	기업 구내 식당 요리 구독 서비스 '플레이팅'을 운영하는 기업	6772049000	94.0	89	푸드/농업	정기구독,배달,간편식/HMR,B2B,구독,상품판매/브랜드/하드웨어
CP00003426	팀블랙버드	TEAM BLACKBIRD	블록체인 기반 암호화폐 분석 및 투자용 데이터를 제공하는 플랫폼 '크립토퀀트'를 운영하는 기업	885496000	119.0	15	금융/보험/핀테크,통신/보안/데이터,AI/딥테크/블록체인	투자,데이터,암호화폐,블록체인기술,B2B,B2C,플랫폼/마켓플레이스,WEB,데이터/API,기타DeepTech
CP00012604	마녀공장	MANYO	자연주의 성분 기반 기능성화장품을 판매하는 기업 	101835610000	320.0	92	커머스,뷰티/화장품	이커머스,유통,스킨케어/클렌징,색조/메이크업,헤어/바디,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,WEB
CP00014565	옴니스토리	OMNI STORY CO., LTD.	실시간 커뮤니케이션 통신 플랫폼 '옴니톡'을 운영하는 기	5000000	None	5	통신/보안/데이터	영상/비디오,통신/네트워크/5G,프로그래밍개발,B2B,SaaS/엔터프라이즈
